DATE,all_Const_Emp,emratio,GDP,home_ow_rate,house_st,income,IPI_Cement,labor_percent,monthly_supply,MSPUS,new_private_house,new_private_hw_under,p_saving_rate,permit,population,PPI_Cement,PPI_Concrete,target,total_emp_cons,unemployed_rate,mortgage_rate
01/08/18,802.1,60.3,20798.73,64.4,1288,17664,102.9686,62.6,6.5,330900,1262,1129,6.6,1273,329040,249.6,250.6,205.321,7347,3.8,4.6
01/09/18,803.8,60.4,20798.73,64.4,1250,17693.5,100.4694,62.8,6.6,330900,1187,1135,6.8,1314,329216,249.7,250.6,205.367,7375,3.7,4.52
01/10/18,803.4,60.5,20917.867,64.6,1221,17749.8,100.1128,62.9,7.2,322800,1122,1141,6.7,1272,329379,250.3,250.6,205.362,7389,3.8,4.71
01/11/18,808.8,60.6,20917.867,64.6,1181,17795.7,95.367,62.9,6.4,322800,1131,1144,6.5,1340,329527,249.9,250.6,205.1,7386,3.8,4.83
01/12/18,812.7,60.6,20917.867,64.6,1095,18012.4,96.2836,63,7.6,322800,1053,1148,8.4,1317,329659,249.9,249,204.691,7396,3.9,4.81
01/01/19,815.3,60.6,21104.133,64.2,1226,18053.9,103.5269,63.1,7,313000,1247,1150,8.2,1261,329766,252.7,250.7,204.195,7425,4,4.55
01/02/19,812.9,60.7,21104.133,64.2,1121,18151.4,98.604,63.1,6.3,313000,1304,1140,8.5,1287,329862,252.1,250.5,204.423,7395,3.8,4.51
01/03/19,816.5,60.6,21104.133,64.2,1191,18229.5,97.5868,63,5.6,313000,1313,1125,7.9,1305,329977,251.2,252.4,205.77,7425,3.8,4.41
01/04/19,811.9,60.5,21384.775,64.3,1272,18262.1,98.5981,62.8,5.7,322500,1308,1124,7.7,1311,330103,255.6,253.3,207.684,7468,3.7,4.41
01/05/19,813.2,60.6,21384.775,64.3,1293,18277,98.1708,62.9,6.5,322500,1221,1132,7.3,1347,330240,258.1,256.5,209.348,7478,3.6,4.08
01/06/19,817.1,60.7,21384.775,64.3,1243,18310.5,97.9644,63,5.4,322500,1178,1143,7.1,1315,330393,257.7,254.1,210.583,7502,3.6,4.14
01/07/19,818.9,60.8,21694.282,64.7,1240,18328.6,102.1547,63.1,6.1,318400,1215,1146,6.8,1352,330553,255.5,253.4,211.334,7526,3.7,3.82
01/08/19,826.4,60.8,21694.282,64.7,1375,18423.6,103.2365,63.1,5.5,318400,1313,1149,7,1489,330729,255.4,252.1,211.693,7530,3.6,3.75
01/09/19,827.1,61,21694.282,64.7,1311,18474.4,105.7782,63.2,5.4,318400,1154,1162,7.2,1474,330904,255.5,253.4,211.872,7547,3.5,3.75
01/10/19,828.6,61,21902.39,65,1325,18549.5,102.5264,63.3,5.3,327100,1289,1159,7.3,1525,331066,255.4,251.1,211.966,7553,3.6,3.49
01/11/19,830.4,61,21902.39,65,1353,18630.7,97.3837,63.3,5.4,327100,1266,1166,7.1,1527,331213,255.1,251.9,212.106,7541,3.6,3.65
01/12/19,827,61.1,21902.39,65,1548,18583.8,100.1004,63.3,5.5,327100,1308,1177,6.4,1451,331345,255,252.7,212.238,7527,3.6,3.69
01/01/20,827,61.1,21706.513,65.3,1578,18821.5,109.397,63.3,5.7,329000,1292,1193,7.2,1507,331443,254.2,252.9,212.398,7580,3.6,3.68
01/02/20,835.3,61.1,21706.513,65.3,1537,18925.6,105.0399,63.3,5.6,329000,1241,1213,7.7,1442,331525,253.9,253.7,213.218,7615,3.5,3.72
01/03/20,832.7,59.8,21706.513,65.3,1252,18577.4,100.9304,62.6,6.4,329000,1248,1214,12.5,1358,331642,253.9,257.2,215.194,7546,4.4,3.45
01/04/20,708,51.2,19913.143,68,931,20750.9,96.035,60.1,6.7,317100,1188,1195,32,1066,331699,257.2,257.6,217.238,6528,14.8,3.29
01/05/20,772,52.7,19913.143,68,1053,19877.2,99.7189,60.8,5.3,317100,1175,1180,22.7,1260,331701,256.2,263.3,218.485,7010,13.2,3.33
01/06/20,794.8,54.7,19913.143,68,1254,19920.9,104.3597,61.5,4,317100,1237,1183,18.4,1338,331744,258.4,263.3,219.813,7156,11,3.26
01/07/20,804,55.2,21647.64,67.3,1523,20191.5,104.9614,61.5,3.5,327900,1308,1201,17.9,1546,331811,259.7,261.4,221.572,7192,10.2,3.18
01/08/20,811,56.5,21647.64,67.3,1401,19594.2,103.3772,61.7,3.3,327900,1269,1213,14,1529,331885,259.6,261.4,224.054,7224,8.4,3.07
01/09/20,820.5,56.6,21647.64,67.3,1463,19744.9,101.4776,61.5,3.5,327900,1439,1220,13.2,1624,331966,259.8,263.3,226.806,7251,7.8,2.88
01/10/20,828.9,57.5,22024.502,65.7,1543,19758.5,102.9257,61.7,3.3,338600,1386,1229,12.8,1613,332041,259.7,263.3,229.818,7300,6.8,2.93
01/11/20,827,57.4,22024.502,65.7,1553,19610.4,105.0796,61.5,3.9,338600,1262,1246,12.1,1714,332079,259.5,263.3,232.322,7318,6.7,2.88
01/12/20,836,57.4,22024.502,65.7,1635,19775.2,105.9155,61.5,4.1,338600,1369,1261,12,1744,332062,259.6,263.3,234.371,7354,6.7,2.78
01/01/21,841,57.4,22600.185,65.6,1639,21760.9,109.5435,61.3,4.1,355000,1362,1282,19.3,1883,332007,260.7,263.5,236.442,7363,6.4,2.71
01/02/21,844.5,57.5,22600.185,65.6,1407,20254,92.9655,61.4,4.8,355000,1296,1287,12.8,1715,331983,261.3,264.4,239.221,7298,6.2,2.65
01/03/21,856.8,57.7,22600.185,65.6,1668,24471.8,99.7076,61.5,4.3,355000,1454,1306,26.1,1732,332023,261.2,264.3,244.216,7406,6.1,2.73
01/04/21,853.1,57.9,23292.362,65.5,1492,21304.2,102.8062,61.6,4.6,367800,1410,1323,12.3,1738,332089,268,265.7,249.824,7407,6.1,3.02
01/05/21,854.3,58,23292.362,65.5,1607,20899.7,98.8756,61.5,5.5,367800,1330,1339,9.9,1681,332161,268.2,269,255.449,7395,5.8,3.18
01/06/21,859.5,58.1,23292.362,65.5,1638,20934.3,96.389,61.7,6,367800,1291,1373,8.7,1657,332249,268.4,269,261.174,7387,5.9,2.96
01/07/21,869,58.4,23828.973,65.3,1600,21156.5,95.2446,61.8,6,395200,1360,1387,9.4,1652,332375,269.453,271.816,265.512,7413,5.4,2.99
01/08/21,875.7,58.6,23828.973,65.3,1595,21207.3,96.0601,61.8,6.5,395200,1340,1410,8.7,1770,332506,271.193,271.816,268.788,7429,5.1,2.98
01/09/21,882.1,58.8,23828.973,65.3,1563,21051.2,96.9246,61.7,6.2,395200,1226,1439,7.2,1625,332610,271.694,271.816,271.442,7475,4.7,2.77
01/10/21,882.5,59,24654.603,65.5,1587,21201.4,97.3596,61.8,6.7,414000,1282,1464,6.6,1719,332708,271.977,271.816,273.652,7513,4.5,2.87
01/11/21,888.3,59.3,24654.603,65.5,1704,21297.7,101.7253,61.9,5.9,414000,1403,1493,6.2,1766,332806,270.722,278.675,276.022,7561,4.1,2.99
01/12/21,893.4,59.6,24654.603,65.5,1757,21352.9,106.1807,62,5.6,414000,1326,1525,6.1,1913,332891,271.163,278.675,278.593,7594,3.9,3.09
01/01/22,899.9,59.7,25029.116,65.4,1712,21294.8,104.7234,62.2,5.9,413500,1275,1552,4.1,1915,332933,280.267,293.546,281.963,7587,4,3.11
01/02/22,907.8,59.8,25029.116,65.4,1742,21426.2,100.0481,62.2,6.1,413500,1343,1582,4.1,1860,332972,281.955,301.302,287.18,7672,3.8,3.22
01/03/22,911.8,60.1,25029.116,65.4,1678,21510.5,101.7872,62.3,6.9,413500,1352,1630,3.4,1879,333067,281.915,301.302,294.992,7704,3.6,3.55
01/04/22,916.7,59.9,25544.273,65.9,1828,21581.3,97.7188,62.2,8.2,437700,1344,1672,3.1,1835,333191,287.439,304.653,301.639,7704,3.7,3.76
01/05/22,923.5,60,25544.273,65.9,1540,21657.1,98.1165,62.3,8.1,437700,1425,1682,3.1,1712,333317,287.567,304.653,306.414,7743,3.6,4.72
01/06/22,921.7,59.9,25544.273,65.9,1542,21740.7,100.4673,62.2,9.9,437700,1381,1689,2.7,1745,333451,288.522,309.714,308.208,7757,3.6,5.27
01/07/22,925.9,60,25994.639,65.9,1392,21910.5,99.117,62.1,10.6,438000,1409,1684,3.5,1719,333599,296.731,309.714,307.042,7786,3.5,5.09
01/08/22,925.6,60.1,25994.639,65.9,1520,22024.3,97.8919,62.4,8.6,438000,1375,1699,3.2,1542,333762,299.595,309.714,303.595,7798,3.6,5.3
01/09/22,924.5,60.1,25994.639,65.9,1470,22121.5,99.5784,62.3,9.9,438000,1434,1700,3,1613,333925,301.55,310.892,300.418,7826,3.5,4.99
01/10/22,926.8,60,26408.405,65.9,1440,22242.2,98.0491,62.3,9.7,442600,1379,1711,3,1560,334071,306.085,310.892,298.649,7839,3.6,5.66
01/11/22,925.4,59.9,26408.405,65.9,1420,22267.7,90.42,62.1,9.2,442600,1559,1695,3.3,1402,334206,307.269,310.892,296.838,7860,3.6,6.66
01/12/22,928.2,60.1,26408.405,65.9,1340,22312.3,89.5103,62.3,8.6,442600,1386,1692,3.4,1400,334326,307.445,310.892,294.326,7884,3.5,6.95
01/01/23,929.9,60.2,26813.601,66,1361,22525.3,96.5484,62.4,8.3,429000,1389,1692,4.4,1443,334433,322.376,331.353,292.788,7921,3.4,6.49
01/02/23,926.8,60.2,26813.601,66,1404,22648.4,97.777,62.5,8.4,429000,1540,1686,4.7,1620,334544,326.256,331.353,293.451,7947,3.6,6.48
01/03/23,925.5,60.4,26813.601,66,1342,22757.9,93.9325,62.6,8.1,429000,1516,1681,5.2,1493,334664,326.838,333.027,297.333,7941,3.5,6.09
01/04/23,923.3,60.4,27063.012,66,1368,22806.1,94.0809,62.6,7.5,418500,1416,1682,5.2,1470,334792,327.097,336.455,301.466,7961,3.4,6.65
01/05/23,922.6,60.3,27063.012,66,1583,22876.6,97.503,62.6,6.9,418500,1499,1692,5.3,1532,334929,329.026,336.455,305.333,7977,3.7,6.28
01/06/23,929.7,60.3,27063.012,66,1415,22921.4,96.6809,62.6,7.7,418500,1480,1693,4.8,1493,335080,328.781,336.455,308.25,8010,3.6,6.39
01/07/23,920.3,60.4,27610.128,65.9,1473,22986.4,95.3515,62.6,7.3,435400,1343,1702,4.4,1501,335248,331.468,336.455,310.136,8021,3.5,6.79
01/08/23,923,60.4,27610.128,65.9,1305,23094.5,94.6465,62.8,7.9,435400,1373,1697,4.5,1578,335431,332.276,336.455,311.501,8052,3.8,6.81
01/09/23,928.7,60.4,27610.128,65.9,1363,23176.2,92.9412,62.8,7.5,435400,1466,1680,3.9,1515,335612,333.513,336.455,312.359,8065,3.8,6.9
01/10/23,932,60.3,27956.998,65.7,1365,23189.4,93.3602,62.7,7.9,423200,1382,1680,3.8,1534,335773,334.683,336.455,312.747,8087,3.8,7.12
01/11/23,931.4,60.4,27956.998,65.7,1510,23241.5,90.8291,62.8,8.8,423200,1466,1683,3.7,1508,335925,334.779,336.455,311.993,8102,3.7,7.49
01/12/23,933.6,60.1,27956.998,65.7,1568,23311.6,92.4447,62.5,8.2,423200,1557,1679,3.6,1530,336070,334.576,351.033,310.842,8120,3.7,7.76
01/01/24,935.1,60.2,28269.174,65.6,1376,23560,80.6341,62.5,8.3,420800,1504,1670,4,1508,336194,345.633,351.033,310.675,8146,3.7,7.03
